frame_idx,ts_sec,global_id,x1,y1,x2,y2,zone_id,frame_is_bad,white_ratio,mean_gray,std_gray
107,3.566667,0,824.2125244140625,503.94927978515625,919.7838134765625,680.0,,0,0.024047,130.006439,56.461688
108,3.600000,0,819.7052612304688,511.1739807128906,920.0,680.0,,0,0.024071,129.893875,56.460574
109,3.633333,0,813.0824584960938,497.6712646484375,920.0,680.0,,0,0.023924,129.929500,56.412736
110,3.666667,0,806.909912109375,503.1465148925781,920.0,680.0,,0,0.024043,129.972967,56.385892
115,3.833333,0,776.1364135742188,505.75421142578125,920.0,680.0,,0,0.023857,130.173210,56.347112
117,3.900000,0,760.9244995117188,497.2859802246094,919.279296875,680.0,,0,0.023723,130.201440,56.300775
118,3.933333,0,751.6258544921875,497.96856689453125,918.9737548828125,680.0,,0,0.023660,130.164417,56.322038
119,3.966667,0,785.7501831054688,501.76483154296875,918.4896240234375,680.0,,0,0.023784,130.267842,56.293482
120,4.000000,0,774.3953247070312,499.2655944824219,917.47607421875,680.0,,0,0.023581,130.174930,56.287654
121,4.033333,0,770.2317504882812,501.4356994628906,918.6232299804688,680.0,,0,0.023637,130.180313,56.297890
122,4.066667,0,743.5847778320312,499.21551513671875,919.7188720703125,680.0,,0,0.023852,130.266803,56.325416
126,4.200000,0,730.7849731445312,501.9875793457031,893.37255859375,680.0,,0,0.023512,129.867108,56.543059
222,7.400000,0,549.4464721679688,411.82171630859375,671.4458618164062,597.787841796875,,0,0.022489,128.754377,57.553630
223,7.433333,0,551.5895385742188,412.32281494140625,671.8949584960938,601.4263305664062,,0,0.022398,128.662388,57.574891
224,7.466667,0,553.7025756835938,412.412353515625,672.582275390625,600.9370727539062,,0,0.022407,128.605566,57.600073
225,7.500000,0,554.510009765625,412.76812744140625,675.3416748046875,619.281982421875,,0,0.022687,128.796995,57.594966
227,7.566667,0,557.4743041992188,414.46148681640625,678.0410766601562,619.4093627929688,,0,0.022885,128.900006,57.625234
228,7.600000,0,557.9596557617188,415.00152587890625,681.3743286132812,620.5057373046875,,0,0.022975,128.922468,57.616144
229,7.633333,0,642.6529541015625,473.5065002441406,764.9143676757812,603.3251342773438,,0,0.022626,128.678235,57.577893
230,7.666667,0,642.9873046875,473.9711608886719,765.6508178710938,604.9241943359375,,0,0.022487,128.568835,57.567748
231,7.700000,0,643.47314453125,473.9073486328125,766.2672119140625,606.64013671875,,0,0.023002,128.852786,57.579670
232,7.733333,0,643.7261352539062,475.9874267578125,766.2105712890625,606.1834106445312,,0,0.022949,128.814327,57.601753
233,7.766667,0,644.2129516601562,478.3822937011719,767.315185546875,608.1704711914062,,0,0.022952,128.850870,57.605206
234,7.800000,0,644.387451171875,478.9763488769531,768.490234375,608.9848022460938,,0,0.023139,128.959496,57.603501
235,7.833333,0,644.407958984375,478.85211181640625,770.30078125,612.5562133789062,,0,0.023104,128.944351,57.609632
235,7.833333,0,561.39501953125,444.861328125,687.7162475585938,634.5707397460938,,0,0.023104,128.944351,57.609632
236,7.866667,0,561.4085693359375,445.27581787109375,688.489013671875,636.2342529296875,,0,0.023191,128.948333,57.610997
237,7.900000,0,561.6002807617188,445.06866455078125,688.116455078125,633.3329467773438,,0,0.023075,128.893489,57.618816
238,7.933333,0,561.840576171875,445.5881042480469,688.486572265625,634.5888061523438,,0,0.023235,128.903854,57.598917
239,7.966667,0,562.1581420898438,445.5320129394531,689.512939453125,636.9349975585938,,0,0.022797,128.585133,57.596907
240,8.000000,0,562.459228515625,445.3717956542969,688.8563842773438,635.0465698242188,,0,0.021941,128.291463,57.567235
241,8.033333,0,562.439208984375,445.7449035644531,690.3734130859375,636.6641845703125,,0,0.022735,128.657033,57.559919
242,8.066667,0,562.6500244140625,445.7372131347656,690.3584594726562,636.4633178710938,,0,0.022705,128.596993,57.573260
243,8.100000,0,562.908203125,445.743408203125,690.081787109375,634.6655883789062,,0,0.022666,128.632492,57.566236
244,8.133333,0,644.185791015625,489.6996765136719,769.040771484375,624.6484985351562,,0,0.023032,128.768766,57.553453
244,8.133333,0,562.9371337890625,445.60369873046875,689.689208984375,634.7957153320312,,0,0.023032,128.768766,57.553453
245,8.166667,0,644.6961059570312,490.7904968261719,768.3763427734375,624.9639282226562,,0,0.023031,128.769783,57.540771
245,8.166667,1,563.0993041992188,446.51214599609375,688.7726440429688,634.7938842773438,,0,0.023031,128.769783,57.540771
246,8.200000,1,563.1181030273438,446.1741027832031,689.7299194335938,634.2886962890625,,0,0.023029,128.771482,57.530183
247,8.233333,1,563.3585205078125,446.0897216796875,731.2606811523438,628.669677734375,,0,0.022860,128.713665,57.521384
248,8.266667,1,563.4992065429688,446.1606140136719,732.8339233398438,629.8292236328125,,0,0.022978,128.746293,57.507183
249,8.300000,1,563.55322265625,445.91876220703125,734.9686889648438,630.7976684570312,,0,0.022877,128.740770,57.497524
250,8.333333,1,562.8451538085938,445.4714050292969,689.3776245117188,635.4769287109375,,0,0.023517,128.731813,57.529376
251,8.366667,1,563.5153198242188,444.6943664550781,732.4774780273438,634.3985595703125,,0,0.023453,128.886539,57.483902
252,8.400000,1,563.7869262695312,444.5811462402344,734.1856689453125,635.8614501953125,,0,0.023434,128.825101,57.495313
253,8.433333,1,563.840087890625,444.5831298828125,731.6207275390625,635.0142211914062,,0,0.023537,128.926204,57.507236
254,8.466667,1,563.6559448242188,444.6984558105469,735.7904663085938,638.5765991210938,,0,0.023617,129.042724,57.479965
255,8.500000,1,563.6435546875,444.79229736328125,736.4459228515625,638.2337646484375,,0,0.023541,128.983795,57.485303
256,8.533333,1,563.8555908203125,444.87213134765625,736.54638671875,637.4002075195312,,0,0.023568,128.957876,57.495219
257,8.566667,1,563.9715576171875,444.8717956542969,735.500244140625,636.4415893554688,,0,0.023557,128.879914,57.519959
258,8.600000,1,563.5343017578125,445.1344299316406,702.7694091796875,637.5988159179688,,0,0.023609,128.968832,57.505423
259,8.633333,1,563.5572509765625,444.6390380859375,692.8759765625,637.3958129882812,,0,0.023563,128.951909,57.504609
260,8.666667,1,563.4425659179688,444.24560546875,690.3325805664062,636.7277221679688,,0,0.023582,128.949546,57.502593
261,8.700000,1,563.531494140625,443.609375,690.2858276367188,637.0773315429688,,0,0.023552,128.902717,57.508275
262,8.733333,1,563.4729614257812,443.6954650878906,690.1195678710938,637.3157958984375,,0,0.023521,128.936635,57.476586
263,8.766667,1,563.4627685546875,443.7673034667969,690.1619873046875,638.7039184570312,,0,0.023449,128.876407,57.483633
264,8.800000,1,563.3334350585938,443.5050964355469,690.4312133789062,639.0991821289062,,0,0.023461,128.847802,57.495667
265,8.833333,1,563.53662109375,443.5735778808594,689.986328125,638.0594482421875,,0,0.023544,128.971738,57.474852
266,8.866667,1,563.6957397460938,443.8837585449219,689.0223999023438,637.612060546875,,0,0.023496,128.889060,57.499690
267,8.900000,1,563.9175415039062,443.7367248535156,688.41064453125,636.8229370117188,,0,0.023582,128.941693,57.515047
268,8.933333,1,565.1165161132812,443.53900146484375,688.2208862304688,636.9929809570312,,0,0.023632,128.961202,57.525538
269,8.966667,0,647.9203491210938,492.34210205078125,776.2337646484375,625.6769409179688,,0,0.023395,128.765277,57.561363
269,8.966667,1,565.788330078125,443.7754211425781,689.0022583007812,637.4906005859375,,0,0.023395,128.765277,57.561363
270,9.000000,0,648.1126708984375,490.1417541503906,777.3078002929688,623.7420043945312,,0,0.023344,128.673056,57.590120
270,9.000000,1,566.1416015625,443.6104431152344,689.502685546875,637.7691040039062,,0,0.023344,128.673056,57.590120
271,9.033333,0,652.479736328125,489.43121337890625,779.1515502929688,622.6240844726562,,0,0.023432,128.856146,57.554181
271,9.033333,1,567.010009765625,442.57171630859375,690.92333984375,640.206787109375,,0,0.023432,128.856146,57.554181
272,9.066667,0,652.3553466796875,488.70404052734375,778.8560791015625,619.7982177734375,,0,0.023347,128.769560,57.582783
272,9.066667,1,566.097900390625,442.5108947753906,690.8016967773438,641.4404907226562,,0,0.023347,128.769560,57.582783
273,9.100000,0,653.3461303710938,488.69232177734375,779.4632568359375,619.4722900390625,,0,0.023389,128.811650,57.581153
273,9.100000,1,568.2174682617188,441.8493957519531,691.5496215820312,641.9945068359375,,0,0.023389,128.811650,57.581153
274,9.133333,1,569.8349609375,440.68109130859375,693.3446655273438,644.866943359375,,0,0.023544,128.933026,57.563760
275,9.166667,1,571.930908203125,440.1573181152344,693.8339233398438,615.1453247070312,,0,0.023497,128.969074,57.543819
276,9.200000,1,572.8313598632812,436.88958740234375,695.0008544921875,617.8397827148438,,0,0.023502,128.981408,57.537173
277,9.233333,1,574.7295532226562,436.2585754394531,695.2476806640625,621.4022216796875,,0,0.023517,129.019086,57.513478
278,9.266667,1,575.7625122070312,434.51373291015625,697.4640502929688,620.9642333984375,,0,0.023456,129.120508,57.491267
279,9.300000,1,576.4480590820312,432.0223388671875,700.7749633789062,621.0375366210938,,0,0.023368,129.078643,57.487278
280,9.333333,1,577.109619140625,428.70330810546875,698.093017578125,619.48291015625,,0,0.023342,129.089281,57.491547
361,12.033333,0,755.6434936523438,201.83580017089844,885.326416015625,391.400146484375,,0,0.022193,129.269233,56.984121
439,14.633333,0,797.3646850585938,195.09506225585938,920.0,402.93841552734375,,0,0.021995,129.896611,56.431881
440,14.666667,0,796.5591430664062,201.63185119628906,920.0,404.0130615234375,,0,0.022014,129.927299,56.378354
441,14.700000,0,795.8956298828125,200.1758575439453,920.0,403.7112121582031,,0,0.021750,129.752746,56.397185
444,14.800000,0,794.5418090820312,202.9049530029297,920.0,408.0672912597656,,0,0.021779,129.484401,56.491651
461,15.366667,0,615.1897583007812,350.33624267578125,754.7159423828125,536.905029296875,,0,0.022687,129.302604,57.557574
462,15.400000,0,619.5279541015625,349.15130615234375,760.3278198242188,547.4732055664062,,0,0.022740,129.256459,57.569603
463,15.433333,0,621.743896484375,358.2752380371094,758.2591552734375,551.2218017578125,,0,0.022809,129.308635,57.561680
464,15.466667,0,622.2980346679688,370.81597900390625,755.3133544921875,551.5562744140625,,0,0.022912,129.354138,57.545390
465,15.500000,0,623.7484130859375,377.1898498535156,754.7228393554688,547.1336669921875,,0,0.022872,129.290248,57.544333
466,15.533333,0,625.1055908203125,381.88690185546875,755.7078247070312,555.47998046875,,0,0.022855,129.273080,57.552420
466,15.533333,0,716.0173950195312,456.6009826660156,837.6344604492188,645.6998291015625,,0,0.022855,129.273080,57.552420
467,15.566667,0,624.2932739257812,384.7049255371094,753.102294921875,557.8372802734375,,0,0.023147,129.462543,57.501358
467,15.566667,0,717.127685546875,460.9916687011719,842.1826782226562,670.7291259765625,,0,0.023147,129.462543,57.501358
468,15.600000,0,626.2183227539062,386.99932861328125,753.2736206054688,568.327392578125,,0,0.023176,129.388015,57.520245
468,15.600000,0,719.62353515625,464.25537109375,838.8726196289062,642.985595703125,,0,0.023176,129.388015,57.520245
469,15.633333,0,719.5350952148438,466.9232177734375,844.0748901367188,665.0678100585938,,0,0.023138,129.419543,57.507806
470,15.666667,0,630.1372680664062,393.85888671875,755.68408203125,584.4862670898438,,0,0.023219,129.406311,57.483691
470,15.666667,0,720.6597900390625,471.7085266113281,845.7517700195312,665.6204833984375,,0,0.023219,129.406311,57.483691
473,15.766667,0,723.8887939453125,478.8028564453125,847.6870727539062,665.056884765625,,0,0.023317,129.359035,57.448369
474,15.800000,0,724.8314208984375,482.7847595214844,847.676025390625,665.0227661132812,,0,0.023285,129.265448,57.474061
475,15.833333,0,725.1869506835938,486.6446533203125,850.1483764648438,675.5074462890625,,0,0.023266,129.243331,57.471731
476,15.866667,0,725.2879028320312,487.983642578125,848.1272583007812,673.8550415039062,,0,0.023328,129.215550,57.457900
477,15.900000,0,725.1583862304688,489.7431945800781,846.60400390625,680.0,,0,0.023163,129.050606,57.477808
478,15.933333,0,726.4330444335938,490.2264709472656,846.9432373046875,680.0,,0,0.023091,128.984549,57.497147
479,15.966667,0,726.3306884765625,490.19580078125,846.8661499023438,680.0,,0,0.023523,129.241191,57.502506
480,16.000000,0,722.578125,491.6505126953125,845.60595703125,680.0,,0,0.023539,129.316244,57.518157
481,16.033333,0,722.561767578125,493.2091979980469,843.3197021484375,677.95556640625,,0,0.023601,129.362223,57.519330
482,16.066667,0,721.4694213867188,496.8974609375,842.6636962890625,678.5308837890625,,0,0.023747,129.379503,57.497815
483,16.100000,0,719.6157836914062,500.98272705078125,842.2574462890625,675.8724975585938,,0,0.023465,129.117562,57.487078
484,16.133333,0,718.6864624023438,504.28057861328125,835.6123046875,680.0,,0,0.023520,129.017876,57.510110
485,16.166667,1,715.8097534179688,505.3465270996094,837.4773559570312,680.0,,0,0.023723,129.306260,57.507628
486,16.200000,1,714.6934814453125,505.69793701171875,834.1876220703125,680.0,,0,0.023708,129.232508,57.538054
487,16.233333,1,712.18359375,505.63629150390625,829.0775756835938,680.0,,0,0.023736,129.210671,57.531341
488,16.266667,1,708.0568237304688,504.895263671875,823.9440307617188,680.0,,0,0.023782,129.238378,57.520109
489,16.300000,1,705.6544189453125,504.2471008300781,824.8712158203125,680.0,,0,0.023606,129.142832,57.526977
490,16.333333,1,701.162841796875,504.0992431640625,817.8712768554688,680.0,,0,0.023579,129.118988,57.534238
491,16.366667,1,698.74755859375,496.4629821777344,811.0060424804688,680.0,,0,0.023712,129.337890,57.458252
492,16.400000,1,692.7113647460938,495.93084716796875,808.1233520507812,680.0,,0,0.023616,129.255155,57.452631
493,16.433333,1,686.2837524414062,493.1851501464844,801.919677734375,680.0,,0,0.023614,129.245699,57.431385
494,16.466667,1,683.3217163085938,495.0032653808594,796.8757934570312,680.0,,0,0.023736,129.354222,57.389455
495,16.500000,0,676.7463989257812,530.864501953125,792.8076782226562,680.0,,0,0.023724,129.411581,57.364912
496,16.533333,0,671.01171875,535.2109375,789.240478515625,680.0,,0,0.023753,129.426191,57.349460
497,16.566667,0,665.8953247070312,513.6915893554688,779.9254150390625,680.0,,0,0.023828,129.579615,57.295490
498,16.600000,0,659.6561889648438,533.2545776367188,771.7367553710938,680.0,,0,0.023713,129.457038,57.295964
499,16.633333,0,653.5557861328125,537.0855712890625,766.4395751953125,680.0,,0,0.023710,129.422199,57.283003
500,16.666667,0,649.0390014648438,538.5048217773438,762.2982788085938,680.0,,0,0.023774,129.211627,57.239646
501,16.700000,0,644.7042236328125,539.3541870117188,755.1528930664062,680.0,,0,0.023980,129.482028,57.232690
502,16.733333,0,640.0342407226562,539.2449951171875,752.9210205078125,680.0,,0,0.023990,129.429626,57.271326
503,16.766667,0,638.4715576171875,539.913330078125,751.7088623046875,680.0,,0,0.024039,129.453637,57.283393
504,16.800000,0,637.1754150390625,508.8339538574219,748.824951171875,680.0,,0,0.024150,129.492545,57.298146
505,16.833333,0,630.6574096679688,506.4992980957031,742.1182861328125,680.0,,0,0.024079,129.410723,57.340319
506,16.866667,0,628.9605102539062,498.9942932128906,735.2623291015625,680.0,,0,0.024054,129.357799,57.378155
513,17.100000,0,623.6253662109375,518.8806762695312,724.5271606445312,680.0,,0,0.023558,129.145113,57.422592
514,17.133333,0,559.7725830078125,424.2020263671875,726.1450805664062,607.442138671875,,0,0.023568,129.069901,57.446739
515,17.166667,0,560.9266967773438,420.3759765625,726.3272094726562,608.38330078125,,0,0.023558,129.057777,57.446980
517,17.233333,0,564.1497192382812,413.2575378417969,725.6951293945312,606.1983642578125,,0,0.023478,129.001002,57.451747
530,17.666667,0,553.60107421875,383.8049011230469,695.2738647460938,576.4953002929688,,0,0.022441,129.456731,57.399471
531,17.700000,0,551.2632446289062,382.68206787109375,694.6788940429688,574.7771606445312,,0,0.021920,129.538481,57.311272
532,17.733333,0,537.588623046875,383.0165710449219,707.3988037109375,575.5245361328125,,0,0.021504,129.424910,57.251489
533,17.766667,0,539.026611328125,383.0717468261719,711.8934326171875,574.3629150390625,,0,0.021573,129.449629,57.214192
534,17.800000,0,536.1246948242188,382.93328857421875,689.2088623046875,575.3787841796875,,0,0.021488,129.454583,57.188007
535,17.833333,0,536.8250732421875,382.8780517578125,707.4428100585938,576.7166137695312,,0,0.021301,129.447078,57.200406
536,17.866667,0,537.5860595703125,382.6642761230469,706.0482177734375,575.0958251953125,,0,0.021354,129.445738,57.210717
537,17.900000,0,537.6978149414062,383.320068359375,708.818359375,572.650634765625,,0,0.021443,129.614351,57.183799
538,17.933333,0,536.8411865234375,383.84454345703125,691.8125610351562,569.65185546875,,0,0.021373,129.546191,57.201328
539,17.966667,0,536.5258178710938,384.80194091796875,685.3626708984375,570.2385864257812,,0,0.021403,129.599113,57.205582
540,18.000000,0,536.5426025390625,385.02001953125,675.019775390625,568.1481323242188,,0,0.021416,129.834292,57.169624
541,18.033333,0,536.3638916015625,384.7775573730469,682.19287109375,567.9347534179688,,0,0.021432,129.937273,57.201531
542,18.066667,0,536.37060546875,385.80853271484375,682.254638671875,566.0435180664062,,0,0.021405,130.091659,57.211731
543,18.100000,1,536.3187866210938,385.70928955078125,682.3394165039062,566.0545654296875,,0,0.021341,130.038493,57.242338
544,18.133333,1,536.1763916015625,386.3034973144531,681.0730590820312,564.8425903320312,,0,0.021333,129.993822,57.250836
545,18.166667,1,536.4378662109375,386.0552062988281,683.0615844726562,564.8653564453125,,0,0.021458,130.157342,57.207216
546,18.200000,1,536.508056640625,385.6014099121094,685.6166381835938,566.5505981445312,,0,0.021416,130.095462,57.226028
547,18.233333,1,536.6192016601562,385.6258850097656,686.243408203125,566.4301147460938,,0,0.021450,130.142561,57.231381
548,18.266667,0,628.9119873046875,451.3807373046875,731.5523681640625,607.7646484375,,0,0.021392,130.160802,57.217605
548,18.266667,1,536.533447265625,386.002197265625,685.0198974609375,567.8096923828125,,0,0.021392,130.160802,57.217605
549,18.300000,0,628.88720703125,451.26043701171875,730.8841552734375,607.1162109375,,0,0.021135,129.948426,57.207689
549,18.300000,1,536.57177734375,385.2550354003906,686.6207885742188,566.869384765625,,0,0.021135,129.948426,57.207689
550,18.333333,0,628.880615234375,451.4256896972656,730.0830688476562,607.3106689453125,,0,0.021071,129.869915,57.220123
550,18.333333,1,536.4410400390625,385.13250732421875,682.7994995117188,567.5808715820312,,0,0.021071,129.869915,57.220123
551,18.366667,0,628.9025268554688,451.37799072265625,729.9246826171875,606.95556640625,,0,0.021188,129.980623,57.197213
551,18.366667,1,536.5484619140625,384.7358093261719,681.22509765625,566.9702758789062,,0,0.021188,129.980623,57.197213
