frame_idx,ts_sec,global_id,x1,y1,x2,y2,zone_id,frame_is_bad,white_ratio,mean_gray,std_gray
0,0.0,0,734.2750854492188,438.4190979003906,1106.0341796875,844.5120239257812,,0,0.005495,111.320056,67.511939
0,0.0,0,1614.7720947265625,447.4972229003906,1882.7496337890625,985.6950073242188,,0,0.005495,111.320056,67.511939
0,0.0,0,1475.7607421875,403.6417541503906,1663.0394287109375,872.833984375,,0,0.005495,111.320056,67.511939
0,0.0,0,1894.2138671875,390.4596252441406,2070.862548828125,829.9271850585938,,0,0.005495,111.320056,67.511939
0,0.0,0,1089.5487060546875,310.5360412597656,1358.1563720703125,748.0774536132812,,0,0.005495,111.320056,67.511939
1,0.083333,0,730.5016479492188,439.292724609375,1087.5474853515625,836.1276245117188,,0,0.003944,110.759914,67.722724
1,0.083333,0,1615.8638916015625,442.97021484375,1875.2109375,976.8829956054688,,0,0.003944,110.759914,67.722724
1,0.083333,0,1475.8392333984375,399.6009216308594,1653.8851318359375,867.119873046875,,0,0.003944,110.759914,67.722724
1,0.083333,0,1892.3955078125,394.5108337402344,2103.261962890625,828.8190307617188,,0,0.003944,110.759914,67.722724
1,0.083333,0,1090.7637939453125,310.761962890625,1359.95654296875,723.5177612304688,,0,0.003944,110.759914,67.722724
2,0.166667,0,734.2724609375,439.6786193847656,1073.69921875,841.2478637695312,,0,0.003848,110.81673,67.730462
2,0.166667,0,1614.3460693359375,440.3634338378906,1880.3411865234375,975.6852416992188,,0,0.003848,110.81673,67.730462
2,0.166667,0,1473.9091796875,398.7281799316406,1652.9234619140625,865.777099609375,,0,0.003848,110.81673,67.730462
2,0.166667,0,1892.96484375,394.8057556152344,2121.431640625,828.9074096679688,,0,0.003848,110.81673,67.730462
2,0.166667,0,1090.4449462890625,310.8673400878906,1359.8638916015625,726.2478637695312,,0,0.003848,110.81673,67.730462
3,0.25,0,736.341796875,439.118896484375,1031.7132568359375,835.3370971679688,,0,0.00385,110.912703,67.731222
3,0.25,0,1613.1922607421875,432.3338317871094,1870.0272216796875,969.0538940429688,,0,0.00385,110.912703,67.731222
3,0.25,0,1466.0384521484375,397.79248046875,1651.830078125,867.55419921875,,0,0.00385,110.912703,67.731222
3,0.25,0,1893.48779296875,394.7809143066406,2116.447021484375,828.7756958007812,,0,0.00385,110.912703,67.731222
3,0.25,0,1090.1448974609375,311.2481384277344,1359.4039306640625,731.98681640625,,0,0.00385,110.912703,67.731222
4,0.333333,0,729.1887817382812,438.4269104003906,981.7791137695312,828.1914672851562,,0,0.003836,110.926824,67.748713
4,0.333333,0,1618.921875,422.3262939453125,1860.1214599609375,966.6570434570312,,0,0.003836,110.926824,67.748713
