tracklet_id,local_track_id,source_gid,assigned_final_gid,start_frame,end_frame,entry_side,exit_side,quality,best_score,best_prev_tracklet_id,best_prev_source_gid,same_source_best_score,same_source_best_prev_tracklet_id,same_source_bias_applied,same_source_cross_block_fired,spatial_disambig_applied,spatial_disambig_jump_top_px,spatial_disambig_jump_sec_px,decision_reason
35,13,13,39,1212,1218,right,right,0.9006721764895801,0.5510286868579148,26,3,0.5166740715566027,34,False,False,False,552.2903863607431,752.3733463970915,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
33,12,12,40,1219,1224,center,center,0.7106254084469845,0.7100990192110923,32,12,0.7100990192110923,32,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
23,2,2,41,1316,1415,center,center,1.0,0.7336948729851454,22,2,0.7336948729851454,22,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
36,13,13,42,1344,1345,right,right,0.4890092385912699,0.521537285343445,26,3,0.5176610067194807,35,False,False,False,1137.6818122275229,697.1007636077276,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
37,13,13,43,1373,1373,right,right,0.5860135886547554,0.6809845600991953,33,12,0.5956142807926101,35,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
38,13,13,44,1381,1478,right,right,0.9913135880564405,0.7348519688492607,37,13,0.7348519688492607,37,False,False,False,127.419488260029,172.3620041957695,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
11,1,1,45,1410,1412,center,center,0.8330108323225616,0.5838290493739842,34,13,0.4641680000048624,9,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
12,1,1,46,1421,1422,center,center,0.7881028340380755,0.7299203983170176,11,1,0.7299203983170176,11,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
24,2,2,47,1427,1437,center,center,0.8241370471734499,0.6515792985764844,32,12,0.6017853371455291,23,False,False,False,132.9268004877846,496.79035310605815,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
13,1,1,48,1478,1489,center,center,1.0,0.6977047183996031,37,13,0.6580209952650935,12,False,False,False,1765.2699136171184,1822.514497493097,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
39,13,13,44,1481,1488,right,right,0.8364654877676188,0.7381944296680975,37,13,0.7381944296680975,37,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
40,20,20,36,1566,1590,center,center,0.9723514115088552,0.9637657025425921,31,11,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_31_via_same_candidate_safe_accept|group_merge_pass|overlap_handoff_pass|local_consistency_pass
14,1,1,50,1576,1577,center,center,0.9002456046075837,0.6640871343877447,23,2,0.5989830368037927,10,False,False,False,365.25728982277747,834.955031423531,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
15,1,1,50,1581,1582,center,center,0.9606851208847736,0.8960283557507009,14,1,0.8960283557507009,14,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_14_via_strong_reentry_reuse|group_merge_pass|overlap_handoff_pass|local_consistency_pass
16,1,1,50,1585,1602,center,center,0.8719945681461886,0.66992036682935,14,1,0.66992036682935,14,False,False,False,96.99978203968423,292.5568853385476,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
17,1,1,50,1617,1741,center,right,0.939235224521339,0.8334581548850912,14,1,0.8334581548850912,14,False,False,False,164.81993947404771,239.564059075527,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
18,1,1,53,1748,1799,center,center,0.9894695569454152,0.791424493509793,38,13,0.7243312609463731,17,False,False,False,-1.0,-1.0,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
41,23,23,54,1748,1799,center,center,0.988744281563557,0.6764207163728695,10,1,-1.0,0,False,False,False,1200.9891463202691,269.3617132212154,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
