a_ratio,cur_quality,deep_sim,gap,h_ratio,lower_topk,motion_score,new_tracklet_id,part_topk,prev_final_gid,prev_quality,prev_source_gid,prev_tracklet_id,quality_score,reason,rerank_penalty,rerank_score,score,shape_size,side_score,status,time_score,topk_sim,upper_lower,upper_topk
0.5576457663207115,0.8875578238187632,0.4602350890636444,4.0,0.9297896028204249,0.9964777032534281,0.7862128615379333,28,0.9974804186820985,27,0.9862082347931438,4,27,0.9355836866390663,scored,0.025,0.6635115984655381,0.721750249534087,0.7809320682205395,1.0,candidate,0.9963702399271399,0.587203860282898,0.9867320507764816,0.9982682665189108
0.7408433861160149,0.8875578238187632,0.5055633783340454,31.0,0.9656939782626207,0.9888482093811035,0.10267394781112671,28,0.9905597082773845,26,0.7921302299357051,3,25,0.8384875568920453,scored,0.025,0.6126267830558061,0.6602500511641816,0.8757537414039783,0.62,candidate,0.9722115849879349,0.4172683209180832,0.9869881063699724,0.9919044574101766
,,,3.0,,,,20,,25,,2,19,,gap_too_short,,,,,,rejected,,,,
0.8577637191210457,0.9195159212411816,0.525471568107605,15.0,0.8456192692517448,0.9889311989148458,3.069639205932617e-05,20,0.9927635741233827,28,0.8875578238187632,4,28,0.903395566749986,scored,0.025,0.6328208762179993,0.6866284677493426,0.8504770491994652,1.0,candidate,0.9864561903924836,0.41149550676345825,0.9915880322456361,0.9957747260729471
0.8636916782574582,0.9195159212411816,0.37597981095314026,53.0,0.8756596688871331,0.9938127597173055,0.13104480504989624,20,0.9869807163874309,26,0.7921302299357051,3,25,0.8534496810722463,scored,0.025,0.5555813348616064,0.6114247371037953,0.8708724726352631,1.0,candidate,0.9529605057786316,0.37925781309604645,0.9760561257600785,0.9816126823425293
0.6501158231454853,0.9195159212411816,0.41444551944732666,26.0,0.9094737849150413,0.9972971677780151,0.1761651635169983,20,0.9875301885604859,27,0.9862082347931438,4,27,0.95227841178484,scored,0.025,0.5751102201620252,0.6273846642145471,0.8057306002072189,0.62,candidate,0.976640787298916,0.40722643584012985,0.9788594484329225,0.9798561334609985
0.9150699529552657,1.0,0.9501286745071411,4.0,0.9657013712819071,0.9997172156969706,0.6018505394458771,2,0.9996450400352479,24,1.0,1,1,1.0,strong_reentry_reuse,0.0,1.0183772336556665,1.0488857660983173,0.9454488039512506,1.0,accepted,0.9963702399271399,0.9412043690681458,0.9995498180389405,0.9995883305867513
0.43828664021667985,1.0,0.23815427720546722,13.0,0.7838510984890509,0.989968736966451,0.09339743852615356,2,0.987183804512024,25,0.9268036565442067,2,19,0.9627064228227662,scored,0.025,0.43952655390492185,0.4961805966991834,0.6456253151801025,1.0,candidate,0.9882513785970227,0.19967971369624138,0.9901858985424042,0.9849956432978312
0.3780024781935459,1.0,0.2542496621608734,25.0,0.9281656925028847,0.9781743089358012,0.00521397590637207,2,0.9815879940986634,28,0.8875578238187632,4,28,0.9421028732674385,scored,0.025,0.44733039436669103,0.50460000432397,0.7081004067791492,1.0,candidate,0.9775290462529921,0.20087406039237976,0.992130795121193,0.984270175298055
0.5102326419829187,1.0,0.2733638286590576,63.0,0.8963240200799911,0.9838390747706095,0.9438254535198212,2,0.9893226003646851,26,0.7921302299357051,3,25,0.8900169829479128,scored,0.025,0.484575279975643,0.54576276907522,0.7418874688411621,1.0,candidate,0.9443364879284888,0.2648783177137375,0.9893754005432129,0.9936310847600301
0.6778541164000343,1.0,0.3701114058494568,36.0,0.8629988105838018,0.9886191089948019,0.1008918285369873,2,0.9859042159716289,27,0.9862082347931438,4,27,0.9930801754103965,scored,0.025,0.5413646914188546,0.5951933152995449,0.7889409329102948,0.62,candidate,0.9678024697277576,0.3544694110751152,0.9858130723237992,0.9837710857391357
0.9994707497745628,1.0,0.9980069398880005,4.0,0.9988927603818972,0.9999948740005493,0.5,3,0.9999975442886353,24,1.0,1,2,1.0,strong_reentry_reuse,0.0,1.0577589631217283,1.0882990230420566,0.9991239561389635,1.0,accepted,0.9963702399271399,0.9980069398880005,0.9999974966049194,0.9999996423721313
0.9145856519763733,1.0,0.9523026943206787,8.0,0.9667718193419478,0.9996546506881714,0.7937046885490417,3,0.999616510073344,24,1.0,1,1,1.0,scored,0.0,1.0220907781639577,1.053802577232905,0.945897352395718,1.0,candidate,0.9927536550124664,0.9424332529306412,0.9995184212923052,0.9995865424474081
0.4380546769135391,1.0,0.23940350115299225,17.0,0.7847199715306461,0.9897580742835999,0.09351521730422974,3,0.9870962309837342,25,0.9268036565442067,2,19,0.9627064228227662,scored,0.025,0.4402389231597048,0.49680945354499334,0.6460538536838033,1.0,candidate,0.9846642632010424,0.2007242515683174,0.9901273727416993,0.9850047826766968
0.37780242029674616,1.0,0.2530341148376465,29.0,0.929194533503304,0.9781849384307861,0.005128145217895508,3,0.981592337290446,28,0.8875578238187632,4,28,0.9421028732674385,scored,0.025,0.4464265962718123,0.5036702732964888,0.7086376882206809,1.0,candidate,0.9739808503508419,0.19991370538870493,0.9921352297067643,0.9842695792516073
0.5099626012421239,1.0,0.27276235818862915,67.0,0.8973175656386858,0.983859141667684,0.9436855018138885,3,0.9893351125717164,26,0.7921302299357051,3,25,0.8900169829479128,scored,0.025,0.48405079207425705,0.5452006933996983,0.7423755798800611,1.0,candidate,0.940908773049261,0.2642954811453819,0.9893842905759812,0.9936376611391703
0.6774953619561161,1.0,0.37750858068466187,40.0,0.8639554162489471,0.9888434410095215,0.1009829044342041,3,0.9859584172566732,27,0.9862082347931438,4,27,0.9930801754103965,scored,0.025,0.5459151764083664,0.5995333615229527,0.7893713945318148,0.62,candidate,0.9642895789647244,0.3594511151313782,0.9858659029006958,0.9836916128794352
0.9978178658553012,1.0,0.9198673963546753,7.0,0.9911556447105584,0.9999866485595703,0.726638987660408,4,0.9999712165196737,24,1.0,1,3,1.0,scored,0.0,1.0018690127031242,1.0354677626003272,0.9938205331684555,1.0,candidate,0.9936565686883281,0.9128380864858627,0.9999669790267945,0.9999590913454691
0.998346240828324,1.0,0.9179644584655762,12.0,0.9900581979130286,0.999975860118866,0.5,4,0.9999677268664042,24,1.0,1,2,1.0,scored,0.0,0.9974552649915309,1.0294449837250075,0.9933734150791467,1.0,candidate,0.9891501974333162,0.9114984422922134,0.9999644458293915,0.9999613364537557
0.9165857650708794,1.0,0.9263789653778076,16.0,0.9753985910298365,0.999665896097819,0.9975394606590271,4,0.9995257838567099,24,1.0,1,1,1.0,same_candidate_safe_accept,0.0,1.0088806223725582,1.0425598487612129,0.9518734606462537,1.0,accepted,0.9855598195406111,0.9260842502117157,0.9993712455034256,0.9994156956672668
0.43901266143200496,1.0,0.22480535507202148,25.0,0.7917222443502336,0.9936898350715637,0.09389746189117432,4,0.9902103384335836,25,0.9268036565442067,2,19,0.9627064228227662,scored,0.025,0.43537944834149783,0.4920979209352157,0.6506384111829422,1.0,candidate,0.9775290462529921,0.2040913663804531,0.9906836152076721,0.9874764482180277
0.3786286387775835,1.0,0.239669531583786,37.0,0.9374859927016322,0.9798155228296915,0.004830777645111084,4,0.9857945203781129,28,0.8875578238187632,4,28,0.9421028732674385,scored,0.025,0.46001126088100325,0.5169951879149984,0.7139430511320127,1.0,candidate,0.9669230490979485,0.26583750173449516,0.9923739224672319,0.9904923041661581
0.5110778416509895,1.0,0.24992358684539795,75.0,0.9053245778575215,0.9862486918767294,0.9429043233394623,4,0.9904302183787028,26,0.7921302299357051,3,25,0.8900169829479128,scored,0.025,0.4734553087535679,0.5350649548544997,0.7476258833749087,1.0,candidate,0.9340906234779491,0.2609024718403816,0.9888867616653443,0.9937157034873962
0.6789769808094048,1.0,0.3683573603630066,48.0,0.8716647288037623,0.9914450645446777,0.10128891468048096,4,0.9903042062123617,27,0.9862082347931438,4,27,0.9930801754103965,scored,0.025,0.5471713827642064,0.6007570863029362,0.7945896296060193,0.62,candidate,0.9573020040076625,0.3751019164919853,0.9868051558732986,0.9894078175226847
0.48874643803241546,0.8392207823522927,0.3291900157928467,12.0,0.9524847385787593,0.9904272556304932,0.24613863229751587,26,0.9953453699747723,24,1.0,1,4,0.9160899422831214,scored,0.025,0.5301124567281484,0.5874672502266156,0.7669894183602217,1.0,candidate,0.9891501974333162,0.3508603945374489,0.9927237927913667,0.9992096026738485
0.487679927741885,0.8392207823522927,0.3368690609931946,32.0,0.9440606251429977,0.9877786238988241,0.08581551909446716,26,0.9939820591608683,24,1.0,1,3,0.9160899422831214,scored,0.0,0.5812409358614706,0.5812409358614706,0.7615083461825526,1.0,candidate,0.971328157892922,0.334625780582428,0.9924935340881349,0.9988561868667603
0.9031547739821408,0.8392207823522927,0.3791038990020752,6.0,0.8323033304082165,0.9901560544967651,0.2844342291355133,26,0.9908864227930705,29,0.9195159212411816,2,20,0.8784514049219875,scored,0.025,0.5702035890335035,0.6281905782454832,0.8606439078377862,1.0,candidate,0.994560303568022,0.4067026972770691,0.9801428675651551,0.9914602835973104
0.4879381691278954,0.8392207823522927,0.3343032896518707,37.0,0.9430153238169485,0.9873408873875936,0.5,26,0.9937872521082561,24,1.0,1,2,0.9160899422831214,scored,0.025,0.5287678801879151,0.5872476741076815,0.7609844619413273,1.0,candidate,0.9669230490979485,0.331929087638855,0.9922924399375916,0.9988522529602051
0.5332249928566377,0.8392207823522927,0.3498534560203552,41.0,0.9765082165775075,0.9870672027269999,0.19502288103103638,26,0.9934440509478252,24,1.0,1,1,0.9160899422831214,scored,0.025,0.5437357002013548,0.6008403542869054,0.7991949270891595,1.0,candidate,0.9634133504208046,0.3672898933291435,0.9906140446662903,0.9984544316927592
0.8982421707242969,0.8392207823522927,0.3921118378639221,50.0,0.8312177741887962,0.9902278184890747,0.11309447884559631,26,0.989850606918335,25,0.9268036565442067,2,19,0.8819256713192982,scored,0.025,0.5645507236627743,0.6206345378581931,0.8580275328029965,1.0,candidate,0.9555630362682842,0.3800598606467247,0.9804553389549255,0.989554226398468
