frame_idx,ts_sec,global_id,x1,y1,x2,y2,zone_id
170,5.666667,1,695.833740234375,463.4869995117187,919.4169311523438,676.645263671875,
171,5.7,1,694.7824096679688,466.9943542480469,919.6077880859376,675.2935791015625,
172,5.733333,1,694.1043701171875,465.03277587890625,919.7991333007812,675.645263671875,
172,5.733333,1,764.0498657226562,526.9930419921875,919.6229858398438,674.9644165039062,
174,5.8,1,690.0913696289062,468.5271606445313,919.6912841796876,675.8218383789062,
175,5.833333,1,754.4429931640625,533.1533813476562,919.4520263671876,677.343017578125,
176,5.866667,1,752.1638793945312,532.1575317382812,919.6221923828124,677.0725708007812,
177,5.9,1,750.1983032226562,531.9249267578125,919.5887451171876,676.4990234375,
178,5.933333,1,745.9885864257812,531.7228393554688,919.643798828125,676.665771484375,
179,5.966667,1,741.7862548828125,530.4004516601562,919.6724243164062,675.9566650390625,
180,6.0,1,738.6700439453125,530.3489379882812,919.711181640625,676.0278930664062,
181,6.033333,1,735.1477661132812,527.4852294921875,919.719482421875,676.5092163085938,
182,6.066667,1,730.789306640625,525.5374145507812,919.736083984375,676.3031616210938,
183,6.1,1,720.4973754882812,520.444091796875,917.4833374023438,676.83935546875,
184,6.133333,1,656.6246948242188,511.68951416015625,909.6364135742188,676.6859130859375,
185,6.166667,1,711.2301635742188,515.245849609375,901.0311889648438,677.0109252929688,
186,6.2,1,703.3682250976562,514.3590087890625,894.4127807617188,676.7433471679688,
187,6.233333,1,665.2976684570312,510.0086975097656,886.9284057617188,677.256591796875,
188,6.266667,1,669.9442138671875,511.3562316894531,880.6923828125,677.9403686523438,
189,6.3,1,669.27734375,508.4647521972656,873.0322265625,677.1728515625,
190,6.333333,1,670.4461059570312,506.884765625,867.3078002929688,677.2212524414062,
191,6.366667,1,660.3460693359375,503.1424255371094,860.8593139648438,677.0719604492188,
192,6.4,1,653.4764404296875,501.6708984375,856.0242309570312,677.3196411132812,
193,6.433333,1,643.3187866210938,501.170654296875,851.9141235351562,677.1387939453125,
194,6.466667,1,634.1649169921875,500.22308349609375,847.232177734375,677.4775390625,
195,6.5,1,629.0060424804688,498.6407165527344,841.8851928710938,678.0010375976562,
196,6.533333,1,623.0990600585938,497.35943603515625,835.8370971679688,677.3466796875,
197,6.566667,1,617.993408203125,495.030517578125,830.0990600585938,677.6980590820312,
198,6.6,1,604.0225830078125,493.4039916992187,824.861083984375,677.8169555664062,
199,6.633333,1,582.5739135742188,490.8809814453125,818.7981567382812,677.5575561523438,
200,6.666667,1,562.6968994140625,488.2874450683594,811.4668579101562,677.15283203125,
201,6.7,1,559.444091796875,483.8771362304687,804.8659057617188,677.449462890625,
202,6.733333,1,560.22314453125,478.9929504394531,798.3853759765625,677.25634765625,
203,6.766667,1,562.1121826171875,476.2326965332031,793.562744140625,677.5894165039062,
204,6.8,1,578.4036254882812,477.8239440917969,785.8976440429688,678.07958984375,
205,6.833333,1,580.6887817382812,476.75738525390625,780.9212646484375,677.9970703125,
206,6.866667,1,581.3637084960938,475.2893371582031,775.941162109375,677.7578735351562,
207,6.9,1,581.2293090820312,473.0079345703125,773.0782470703125,677.7300415039062,
208,6.933333,1,580.5548095703125,472.63177490234375,769.456787109375,677.6411743164062,
209,6.966667,1,578.2598876953125,469.2533264160156,767.1183471679688,677.8759155273438,
210,7.0,1,577.3547973632812,469.2775268554687,764.2354125976562,677.82080078125,
211,7.033333,1,579.9401245117188,466.8584289550781,762.2555541992188,677.531494140625,
212,7.066667,1,578.86279296875,465.2922668457031,761.583740234375,677.5137329101562,
213,7.1,1,576.9486083984375,463.0821228027344,760.1253662109375,677.3374633789062,
214,7.133333,1,577.2183837890625,461.6745910644531,759.5040893554688,677.0977172851562,
215,7.166667,1,576.3129272460938,459.5477294921875,758.9170532226562,677.248046875,
216,7.2,1,576.7114868164062,457.3230895996094,758.2742309570312,677.2528686523438,
217,7.233333,1,575.63525390625,455.353759765625,758.1832275390625,677.2329711914062,
218,7.266667,1,571.3633422851562,451.6505126953125,758.0183715820312,676.12451171875,
219,7.3,1,567.8912353515625,449.2038879394531,761.5667724609375,676.734619140625,
220,7.333333,1,565.120361328125,446.9342041015625,764.461669921875,673.551025390625,
221,7.366667,1,562.049072265625,443.19091796875,774.5269775390625,674.8145141601562,
222,7.4,1,559.4736328125,439.9614562988281,765.2013549804688,674.249267578125,
223,7.433333,1,560.7654418945312,435.26373291015625,769.348388671875,648.3858642578125,
224,7.466667,1,589.7276000976562,431.1393127441406,793.7908325195312,676.6729736328125,
225,7.5,1,581.3134155273438,428.2566223144531,791.8615112304688,676.3120727539062,
226,7.533333,1,582.56591796875,423.4059143066406,796.9022216796875,676.0626220703125,
227,7.566667,1,574.7589721679688,418.1901245117187,801.6234130859375,675.4857788085938,
228,7.6,1,560.8203735351562,412.3695068359375,804.2567138671875,669.470703125,
229,7.633333,1,563.9434814453125,410.7950134277344,807.6858520507812,655.4697265625,
230,7.666667,1,569.68798828125,405.9728393554687,811.4702758789062,649.749267578125,
231,7.7,1,583.0850830078125,403.9549865722656,813.3914794921875,640.6513671875,
232,7.733333,1,565.86962890625,399.28082275390625,815.7294311523438,635.413818359375,
233,7.766667,1,566.2131958007812,393.6173706054687,817.271728515625,630.8757934570312,
234,7.8,1,568.199462890625,392.0163269042969,818.1583862304688,625.9329833984375,
235,7.833333,1,568.767822265625,392.1685791015625,817.8541870117188,622.6343994140625,
236,7.866667,1,568.7501220703125,391.2492065429687,817.4212646484375,619.3095703125,
237,7.9,1,568.64794921875,389.0706481933594,816.2490234375,616.4832153320312,
238,7.933333,1,568.51220703125,386.33544921875,814.45361328125,615.0494384765625,
239,7.966667,1,568.1744384765625,386.196044921875,812.6458740234375,614.5673828125,
240,8.0,1,569.04736328125,385.98968505859375,810.2286376953125,614.2083740234375,
241,8.033333,1,568.3628540039062,385.4250793457031,808.3321533203125,614.2393188476562,
242,8.066667,1,568.0441284179688,384.5934448242187,804.461181640625,614.0626831054688,
243,8.1,1,569.6453247070312,383.6798400878906,802.4723510742188,613.783935546875,
244,8.133333,1,578.6735229492188,382.391845703125,799.996337890625,613.7069702148438,
245,8.166667,1,575.228515625,380.7080993652344,797.5712280273438,613.0723266601562,
246,8.2,1,570.783447265625,379.9444885253906,796.2692260742188,612.7071533203125,
247,8.233333,1,574.2857666015625,379.2640380859375,795.3867797851562,611.6613159179688,
248,8.266667,1,569.980712890625,378.5295715332031,794.628173828125,610.60498046875,
249,8.3,1,574.6447143554688,377.4947509765625,794.114990234375,609.234130859375,
250,8.333333,1,569.5831909179688,377.3877258300781,793.0902099609375,608.01220703125,
251,8.366667,1,580.4337158203125,376.7106323242187,792.7293701171875,607.0137329101562,
252,8.4,1,585.081787109375,376.3405456542969,792.3584594726562,606.2890625,
253,8.433333,1,584.59912109375,376.7078247070313,792.1884765625,605.7908935546875,
254,8.466667,1,585.7523803710938,376.6533508300781,792.0606079101562,605.327880859375,
255,8.5,1,583.712890625,376.5050048828125,792.0875244140625,604.659912109375,
256,8.533333,1,586.0081176757812,376.4602966308594,792.07666015625,604.2346801757812,
257,8.566667,1,580.5296020507812,376.4945068359375,792.16162109375,603.9927978515625,
258,8.6,1,568.7730102539062,375.6545715332031,792.4205322265625,604.0564575195312,
259,8.633333,1,568.7369384765625,375.8915710449219,793.2377319335938,603.6531982421875,
260,8.666667,1,569.4276123046875,374.7557067871094,794.246337890625,603.0789794921875,
261,8.7,1,568.314697265625,374.8831481933594,794.8846435546875,602.9793090820312,
262,8.733333,1,568.7089233398438,374.1396789550781,796.2716674804688,603.110595703125,
263,8.766667,1,568.9069213867188,373.1902160644531,798.1552734375,601.0388793945312,
264,8.8,1,568.6867065429688,372.6437072753906,799.2400512695312,600.2846069335938,
265,8.833333,1,568.4324340820312,371.7805786132813,800.2161865234375,599.2291870117188,
266,8.866667,1,568.4273681640625,371.0174255371094,801.091552734375,597.6474609375,
267,8.9,1,568.7796020507812,369.9685363769531,801.920166015625,595.3932495117188,
268,8.933333,1,570.5423583984375,368.5868835449219,801.7980346679688,593.483154296875,
269,8.966667,1,571.5347290039062,366.83648681640625,801.968017578125,591.1254272460938,
270,9.0,1,570.6538696289062,365.54058837890625,801.1924438476562,589.8543701171875,
271,9.033333,1,569.50537109375,364.083251953125,799.64599609375,589.2111206054688,
272,9.066667,1,563.5621337890625,361.7433471679687,797.6709594726562,589.462646484375,
273,9.1,1,556.913818359375,358.5249328613281,794.010986328125,589.6036376953125,
274,9.133333,1,548.7359008789062,355.0992431640625,789.8026123046875,590.8314819335938,
275,9.166667,1,542.0784912109375,350.9581298828125,785.0550537109375,592.0833129882812,
276,9.2,1,537.3140258789062,346.2572326660156,779.23095703125,593.6322631835938,
277,9.233333,1,534.3272094726562,341.6651306152344,771.3785400390625,595.1728515625,
278,9.266667,1,534.0870361328125,336.7098083496094,762.989501953125,596.0459594726562,
279,9.3,1,550.6885986328125,325.7756042480469,751.3169555664062,597.5194091796875,
280,9.333333,1,532.9009399414062,319.01007080078125,741.795166015625,600.2186889648438,
281,9.366667,1,534.7127075195312,302.05023193359375,732.1171875,602.1347045898438,
282,9.4,1,542.7418823242188,291.02215576171875,721.9774780273438,603.8887329101562,
283,9.433333,1,534.376220703125,276.9557189941406,714.6346435546875,605.1177978515625,
284,9.466667,1,535.6739501953125,269.2403869628906,708.2792358398438,606.1163330078125,
285,9.5,1,547.5194091796875,266.392333984375,701.0778198242188,607.8366088867188,
286,9.533333,1,541.8704833984375,267.4031982421875,696.2798461914062,608.5067138671875,
287,9.566667,1,539.221923828125,266.5352783203125,690.9768676757812,590.3781127929688,
288,9.6,1,535.5750732421875,267.1115417480469,687.338623046875,608.6167602539062,
289,9.633333,1,532.4058837890625,266.4533996582031,681.8452758789062,606.1864624023438,
290,9.666667,1,527.890625,265.0711669921875,678.3201904296875,607.725341796875,
291,9.7,1,525.765869140625,265.0747375488281,675.3576049804688,603.8587036132812,
292,9.733333,1,522.3802490234375,264.6986999511719,672.0746459960938,606.82421875,
293,9.766667,1,520.2098999023438,264.45208740234375,669.662841796875,608.3203125,
294,9.8,1,519.2279663085938,264.1175231933594,667.7843627929688,608.23486328125,
295,9.833333,1,518.3267211914062,264.23492431640625,666.3812866210938,609.2607421875,
296,9.866667,1,517.8861694335938,264.2843933105469,665.3256225585938,610.687744140625,
297,9.9,1,517.4989624023438,264.6396179199219,665.0048217773438,611.14990234375,
298,9.933333,1,517.2582397460938,264.897216796875,664.6685791015625,611.8662719726562,
299,9.966667,1,516.037109375,265.50921630859375,664.2560424804688,613.5072021484375,
300,10.0,1,515.7208251953125,265.5757751464844,663.7608642578125,614.5421752929688,
301,10.033333,1,514.9630737304688,265.1334228515625,663.198974609375,617.1802368164062,
302,10.066667,1,513.5285034179688,265.08514404296875,663.139892578125,618.0991821289062,
303,10.1,1,513.3148193359375,266.0265197753906,662.9871826171875,619.2044067382812,
304,10.133333,1,512.8922119140625,265.64691162109375,662.8858032226562,620.3482666015625,
305,10.166667,1,512.8872680664062,265.1188049316406,662.966796875,621.16015625,
306,10.2,1,512.96875,264.407470703125,662.7483520507812,621.683349609375,
307,10.233333,1,512.6656494140625,263.8662414550781,662.5860595703125,622.0214233398438,
308,10.266667,1,512.696044921875,264.0654602050781,661.8656005859375,622.362548828125,
309,10.3,1,512.513671875,264.34130859375,661.3265380859375,622.351318359375,
310,10.333333,1,512.1608276367188,264.6884765625,660.56005859375,622.45361328125,
311,10.366667,1,511.8267517089844,264.9667663574219,660.1334228515625,622.2220458984375,
312,10.4,1,511.5554504394531,265.14013671875,659.1724853515625,621.9432983398438,
313,10.433333,1,511.35546875,265.6429443359375,658.6180419921875,621.6978759765625,
314,10.466667,1,510.9239807128906,265.1925048828125,657.5198364257812,620.921630859375,
315,10.5,1,510.7921447753906,265.9228820800781,656.9017333984375,620.1613159179688,
316,10.533333,1,509.8401184082031,266.2271423339844,656.1550903320312,619.2655029296875,
317,10.566667,1,509.6321105957031,266.366943359375,655.4092407226562,617.7029418945312,
318,10.6,1,509.5426330566406,265.8497619628906,654.8270263671875,617.0242919921875,
319,10.633333,1,508.94378662109375,266.46142578125,654.545654296875,616.216796875,
320,10.666667,1,508.557861328125,267.50250244140625,654.2081298828125,615.1597900390625,
321,10.7,1,508.1720581054687,267.06640625,653.9404907226562,614.6402587890625,
322,10.733333,1,507.8134765625,266.625244140625,653.4916381835938,613.7040405273438,
323,10.766667,1,506.9930725097656,266.6163635253906,653.5299072265625,613.4403686523438,
