tracklet_id,local_track_id,source_gid,final_gid,start_frame,end_frame,entry_side,exit_side,motion_dx,motion_dy,median_h_ratio,median_aspect,quality,num_rows,num_clean_embeds,clean_embed_count,upper_topk_count,lower_topk_count
1,1,1,24,12,83,center,center,-0.6004613637924194,0.7996537685394287,0.1995084583759308,0.9591497182846069,1.0,72,10,10,8,8
19,2,2,25,12,74,center,center,0.3969627320766449,0.9178346991539001,0.24579361081123352,0.4593993127346039,0.9268036565442067,63,10,10,8,8
25,3,3,30,12,24,center,center,-0.9907868504524231,-0.1354304552078247,0.214950829744339,0.5348110198974609,0.7921302299357051,12,4,4,4,4
27,4,4,27,17,51,center,right,0.4388284385204315,0.8985708355903625,0.22325128316879272,0.7105069756507874,0.9862082347931438,35,10,10,8,8
28,4,4,28,55,62,right,center,-0.873136043548584,-0.4874766170978546,0.207576721906662,0.3962112069129944,0.8875578238187632,8,3,3,3,3
20,2,2,25,77,118,center,center,-0.41673406958580017,-0.9090284705162048,0.24547302722930908,0.4619118273258209,0.9195159212411816,42,10,10,8,8
2,1,1,24,87,87,center,center,0.0,0.0,0.19266559183597565,1.0481709241867065,1.0,1,1,1,1,1
3,1,1,24,91,92,center,center,-0.8214831948280334,0.5702327489852905,0.19287915527820587,1.048725962638855,1.0,2,1,1,1,1
4,1,1,24,99,112,center,center,-0.5179957747459412,-0.8553831577301025,0.19460026919841766,1.0464375019073486,1.0,14,5,5,5,5
26,3,3,30,124,510,center,center,0.9803443551063538,-0.19729413092136383,0.20430801808834076,0.5114426016807556,0.8392207823522927,386,10,10,8,8
5,1,1,24,137,304,center,center,-0.6178491115570068,0.7862967252731323,0.2809757888317108,0.5465530753135681,1.0,167,10,10,8,8
6,1,1,32,308,310,center,center,0.6949430704116821,-0.7190647721290588,0.23501624166965485,0.4861655831336975,0.8330334077880699,3,1,1,1,1
7,1,1,33,323,331,center,center,-0.09114465117454529,-0.9958376288414001,0.19409656524658203,0.6327988505363464,0.857855707617606,9,3,3,3,3
21,2,2,25,334,604,center,center,0.7841048836708069,-0.6206283569335938,0.24913513660430908,0.46730518341064453,0.9231345417217813,271,10,10,8,8
8,1,1,33,335,335,center,center,0.0,0.0,0.19466044008731842,0.6197897791862488,0.8545779596560846,1,1,1,1,1
9,1,1,33,339,341,center,center,0.9724178314208984,-0.23324579000473022,0.1942775696516037,0.6391031742095947,0.8597277336860669,3,1,1,1,1
10,1,1,24,388,1407,center,center,-0.7035964131355286,-0.7105998396873474,0.3061434328556061,0.5583677291870117,1.0,1020,10,10,8,8
29,11,11,36,517,518,center,center,0.09205669909715652,0.9957537651062012,0.17595292627811432,1.0419180393218994,0.9515395355673133,2,1,1,1,1
30,11,11,36,533,553,center,center,0.9207804203033447,0.39008140563964844,0.1758992075920105,1.0368804931640625,0.9492603156231627,20,7,7,7,7
31,11,11,36,594,594,center,center,0.0,0.0,0.17268045246601105,1.0491076707839966,0.9404706790123456,1,1,1,1,1
22,2,2,25,608,1238,center,right,0.777380108833313,0.6290311813354492,0.22764000296592712,0.4435536861419678,0.9234232621238563,630,10,10,8,8
32,12,12,38,1205,1210,center,center,0.39093321561813354,-0.9204190373420715,0.24452237784862518,0.37208569049835205,0.8036035886509061,6,2,2,2,2
34,13,13,36,1208,1208,center,center,0.0,0.0,0.17855803668498993,1.0423089265823364,0.9469709888302578,1,1,1,1,1
35,13,13,39,1212,1218,right,right,0.7405061721801758,-0.6720495820045471,0.2622956931591034,0.6838846802711487,0.9006721764895801,7,3,3,3,3
33,12,12,40,1219,1224,center,center,0.4409726858139038,-0.8975205421447754,0.23820482194423676,0.3694651424884796,0.7106254084469845,6,2,2,2,2
23,2,2,41,1316,1415,center,center,0.9659085869789124,-0.2588832378387451,0.2772456407546997,0.5245087146759033,1.0,100,10,10,8,8
36,13,13,42,1344,1345,right,right,-0.851508617401123,0.5243407487869263,0.2518780827522278,0.28542205691337585,0.4890092385912699,2,1,1,1,1
37,13,13,43,1373,1373,right,right,0.0,0.0,0.2847636044025421,0.8507838249206543,0.5860135886547554,1,1,1,1,1
38,13,13,44,1381,1478,right,right,-0.9337926506996155,-0.3578146696090698,0.2864011824131012,0.5741686224937439,0.9913135880564405,97,10,10,8,8
11,1,1,45,1410,1412,center,center,0.9756878018379211,-0.21916525065898895,0.2832975387573242,0.5888262987136841,0.8330108323225616,2,1,1,1,1
12,1,1,46,1421,1422,center,center,-0.09548739343881607,0.9954306483268738,0.21395954489707947,0.5237979292869568,0.7881028340380755,2,1,1,1,1
24,2,2,47,1427,1437,center,center,0.11651099473237991,-0.9931893944740295,0.30612972378730774,0.40358033776283264,0.8241370471734499,11,4,4,4,4
13,1,1,48,1478,1489,center,center,0.3593781590461731,0.9331920146942139,0.2608870565891266,0.676171064376831,1.0,12,4,4,4,4
39,13,13,44,1481,1488,right,right,0.8057968616485596,0.5921920537948608,0.24075618386268616,0.6757066249847412,0.8364654877676188,8,3,3,3,3
40,20,20,36,1566,1590,center,center,0.39653462171554565,0.9180197715759277,0.1822321116924286,1.0269997119903564,0.9723514115088552,24,8,8,8,8
14,1,1,50,1576,1577,center,center,-0.6912212371826172,0.7226431965827942,0.18725326657295227,0.8552801609039307,0.9002456046075837,2,1,1,1,1
15,1,1,50,1581,1582,center,center,-0.1653195321559906,0.986240029335022,0.180021271109581,1.0331265926361084,0.9606851208847736,2,1,1,1,1
16,1,1,50,1585,1602,center,center,-0.21414820849895477,0.9768011569976807,0.17060230672359467,0.9192450046539307,0.8719945681461886,17,6,6,6,6
17,1,1,50,1617,1741,center,right,0.9345418214797974,0.35585343837738037,0.22978726029396057,0.5815158486366272,0.939235224521339,124,10,10,8,8
18,1,1,53,1748,1799,center,center,0.8437539339065552,0.5367302298545837,0.27626991271972656,0.559709370136261,0.9894695569454152,52,10,10,8,8
41,23,23,54,1748,1799,center,center,0.8207579851150513,0.5712759494781494,0.27167168259620667,0.4936826229095459,0.988744281563557,52,10,10,8,8
