a_ratio,cur_quality,deep_sim,gap,h_ratio,lower_topk,motion_score,new_tracklet_id,part_topk,prev_final_gid,prev_quality,prev_source_gid,prev_tracklet_id,quality_score,reason,rerank_penalty,rerank_score,score,shape_size,side_score,status,time_score,topk_sim,upper_lower,upper_topk
0.9937258257919803,0.62,0.5540987253189087,205.0,0.9133619381003454,0.9624823331832886,0.5774251520633698,2,0.9831960916519165,9,1.0,1,1,0.7874007874011811,same_source_stitch_trust,0.025,0.6918501473736188,0.7366661516210379,0.9455074931769993,0.62,accepted,0.829971732198499,0.6333900392055511,0.9537790954113008,0.9994711875915527
0.8186473340171372,0.9861123028153479,0.6754071116447449,263.0,0.9517337192218729,0.9931305646896362,0.7069452702999115,3,0.994830125172933,9,1.0,1,1,0.9930318740178222,same_source_stitch_trust,0.0,0.8225430334010716,0.8533383467159782,0.8984991651399785,1.0,accepted,0.787343302455245,0.7168817669153214,0.9900514096021653,0.9961654941240946
0.8238160997422916,0.9861123028153479,0.45233482122421265,49.0,0.9596822300749207,0.981157382329305,0.92203289270401,3,0.9888734912872315,9,0.62,1,2,0.7819140795161036,scored,0.025,0.631230619478073,0.6824679176913463,0.905335777941869,0.62,candidate,0.9564321249180598,0.5431834310293198,0.9742699027061463,0.9949361483256022
,,,3.0,,,,4,,9,,1,3,,gap_too_short,,,,,,rejected,,,,
0.9597256485180751,1.0,0.7059104442596436,288.0,0.9336515907217847,0.9942824840545654,0.732861801981926,4,0.9954487435022991,9,1.0,1,1,1.0,same_source_stitch_trust,0.0,0.8502270911642262,0.8820673710993368,0.9440812138403007,1.0,accepted,0.7696509475227568,0.754810556769371,0.9923294186592102,0.9963650902112325
0.9537041626073681,1.0,0.4552983343601227,74.0,0.8527618264121197,0.9772858619689941,0.9198853075504303,4,0.9877037350336711,9,0.62,1,2,0.7874007874011811,scored,0.025,0.6248779840344211,0.6755218509703604,0.893138760890219,0.62,candidate,0.9349401828768735,0.5216953009366989,0.9661469340324402,0.9958892067273458
0.9082040153655152,1.0,0.6886417269706726,94.0,0.9965545244835338,0.9950795968373617,0.054231107234954834,5,0.976164288520813,9,1.0,1,4,1.0,same_source_stitch_trust,0.0,0.8256006468864728,0.8572298349714713,0.9612143208363263,1.0,accepted,0.9180948736908959,0.7155313640832901,0.9703344404697418,0.9613022605578104
0.8650884936144961,1.0,0.6313225030899048,123.0,0.8855260937273951,0.9825366139411926,0.00039833784103393555,5,0.9708066503206889,9,0.9861123028153479,1,3,0.9930318740178222,scored,0.0,0.7728432176994523,0.8017987015703771,0.8773510536822355,1.0,candidate,0.8942068257802076,0.6497994214296341,0.9635676950216294,0.9615902503331503
0.9463162902522037,1.0,0.5236431360244751,408.0,0.9304347170250431,0.9635644753774008,0.6438917368650436,5,0.9549427938461303,9,1.0,1,1,1.0,scored,0.025,0.6795356193899454,0.7387954632982071,0.9367873463159073,1.0,candidate,0.6901066756777111,0.5675228834152222,0.9567138940095903,0.9481686155001322
0.9522911307029862,1.0,0.34185492992401123,194.0,0.8498236564178397,0.9408170779546102,0.9237840473651886,5,0.9478900146484375,9,0.62,1,2,0.7874007874011811,scored,0.025,0.522248507677149,0.5756097241673676,0.8908106461318983,0.62,candidate,0.8383130867822303,0.3681809976696968,0.9240245610475541,0.9534473220507304
