window_idx,start_frame,end_frame,score
1,1177,1245,3.9072686365532174
2,1416,1483,1.689221579265283
3,2259,2325,2.7720700614115192
4,2470,2536,1.8800161117184775
5,2919,3000,11.898143855390966
6,3250,3316,1.9203849346689967
