row_idx,frame_idx,source_gid,tracklet_id,assigned_final_gid
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,2,0,0,0
13,2,0,0,0
14,2,0,0,0
15,2,0,0,0
16,2,0,0,0
17,2,0,0,0
18,3,0,0,0
19,3,0,0,0
20,3,0,0,0
21,3,0,0,0
22,3,0,0,0
23,3,0,0,0
24,4,0,0,0
25,4,0,0,0
26,4,0,0,0
27,4,0,0,0
28,4,0,0,0
29,4,0,0,0
30,5,0,0,0
31,5,0,0,0
32,5,0,0,0
33,5,0,0,0
34,5,0,0,0
35,5,0,0,0
36,6,0,0,0
37,6,0,0,0
38,6,0,0,0
39,6,0,0,0
40,6,0,0,0
41,7,0,0,0
42,7,0,0,0
43,7,0,0,0
44,7,0,0,0
45,7,0,0,0
46,7,0,0,0
47,8,0,0,0
48,8,0,0,0
49,8,0,0,0
50,8,0,0,0
51,8,0,0,0
52,9,0,0,0
53,9,1,1,77
54,9,2,3,78
55,9,3,4,79
56,9,4,5,80
57,9,5,6,81
58,10,1,1,77
59,10,2,3,78
60,10,3,4,79
61,10,4,5,80
62,10,5,6,81
63,11,1,1,77
64,11,2,3,78
65,11,3,4,79
66,11,4,5,80
67,11,5,6,81
68,12,1,1,77
69,12,2,3,78
70,12,3,4,79
71,12,4,5,80
72,12,5,6,81
73,13,0,0,0
74,13,1,1,77
75,13,2,3,78
76,13,3,4,79
77,13,5,6,81
78,14,0,0,0
79,14,0,0,0
80,14,1,1,77
81,14,3,4,79
82,14,5,6,81
83,15,0,0,0
84,15,0,0,0
85,15,1,1,77
86,15,5,6,81
87,16,0,0,0
88,16,0,0,0
89,16,1,1,77
90,16,5,6,81
91,17,0,0,0
92,17,0,0,0
93,17,0,0,0
94,17,1,1,77
95,17,5,6,81
96,18,0,0,0
97,18,0,0,0
98,18,1,1,77
99,18,5,6,81
100,19,0,0,0
101,19,0,0,0
102,19,1,1,77
103,19,5,6,81
104,20,0,0,0
105,20,0,0,0
106,20,1,1,77
107,20,5,6,81
108,21,0,0,0
109,21,0,0,0
110,21,1,1,77
111,21,5,6,81
112,22,0,0,0
113,22,0,0,0
114,22,1,1,77
115,22,5,6,81
116,23,0,0,0
117,23,0,0,0
118,23,1,1,77
119,23,5,6,81
120,24,0,0,0
121,24,0,0,0
122,24,0,0,0
123,24,1,1,77
124,24,5,6,81
125,25,0,0,0
126,25,0,0,0
127,25,0,0,0
128,25,1,1,77
129,25,5,6,81
130,26,0,0,0
131,26,0,0,0
132,26,0,0,0
133,26,0,0,0
134,26,1,1,77
135,26,5,6,81
136,27,0,0,0
137,27,0,0,0
138,27,0,0,0
139,27,0,0,0
140,27,1,1,77
141,27,5,6,81
142,28,0,0,0
143,28,0,0,0
144,28,0,0,0
145,28,1,1,77
146,28,5,6,81
147,29,0,0,0
148,29,0,0,0
149,29,1,1,77
150,29,5,6,81
151,30,0,0,0
152,30,0,0,0
153,30,0,0,0
154,30,1,1,77
155,30,5,6,81
156,31,0,0,0
157,31,0,0,0
158,31,0,0,0
159,31,1,1,77
160,31,5,6,81
161,32,0,0,0
162,32,0,0,0
163,32,0,0,0
164,32,1,1,77
165,32,5,6,81
166,32,6,10,87
167,33,0,0,0
168,33,0,0,0
169,33,1,1,77
170,33,5,6,81
171,33,6,10,87
172,34,0,0,0
173,34,0,0,0
174,34,0,0,0
175,34,1,1,77
176,34,5,6,81
177,34,6,10,87
178,35,0,0,0
179,35,0,0,0
180,35,0,0,0
181,35,0,0,0
182,35,1,1,77
183,35,5,6,81
184,35,6,10,87
185,36,0,0,0
186,36,0,0,0
187,36,1,1,77
188,36,5,6,81
189,36,6,10,87
190,36,7,13,83
191,37,0,0,0
192,37,0,0,0
193,37,0,0,0
194,37,1,1,77
195,37,5,6,81
196,37,6,10,87
197,37,7,13,83
198,38,0,0,0
199,38,0,0,0
200,38,0,0,0
201,38,1,1,77
202,38,5,6,81
203,38,6,10,87
204,38,7,13,83
205,39,0,0,0
206,39,0,0,0
207,39,0,0,0
208,39,1,1,77
209,39,5,6,81
210,39,6,10,87
211,39,7,13,83
212,40,0,0,0
213,40,0,0,0
214,40,0,0,0
215,40,1,1,77
216,40,5,6,81
217,40,6,10,87
218,40,7,13,83
219,41,0,0,0
220,41,0,0,0
221,41,0,0,0
222,41,1,1,77
223,41,5,6,81
224,41,6,10,87
225,41,7,13,83
226,42,0,0,0
227,42,0,0,0
228,42,1,1,77
229,42,5,6,81
230,42,6,10,87
231,42,7,13,83
232,42,8,14,84
233,43,0,0,0
234,43,0,0,0
235,43,0,0,0
236,43,1,1,77
237,43,5,6,81
238,43,6,10,87
239,43,7,13,83
240,43,8,14,84
241,44,0,0,0
242,44,0,0,0
243,44,1,1,77
244,44,5,6,81
245,44,6,10,87
246,44,7,13,83
247,44,8,14,84
248,45,0,0,0
249,45,0,0,0
250,45,1,1,77
251,45,5,6,81
252,45,6,10,87
253,45,7,13,83
254,45,8,14,84
255,46,0,0,0
256,46,0,0,0
257,46,1,1,77
258,46,5,6,81
259,46,6,10,87
260,46,7,13,83
261,46,8,14,84
262,47,0,0,0
263,47,0,0,0
264,47,0,0,0
265,47,1,1,77
266,47,5,6,81
267,47,6,10,87
268,47,7,13,83
269,47,8,14,84
270,48,0,0,0
271,48,1,1,77
272,48,5,6,81
273,48,6,10,87
274,48,7,13,83
275,48,8,14,84
276,49,0,0,0
277,49,1,1,77
278,49,5,6,81
279,49,6,10,87
280,49,7,13,83
281,49,8,14,84
282,50,0,0,0
283,50,0,0,0
284,50,1,1,77
285,50,5,6,81
286,50,6,10,87
287,50,7,13,83
288,50,8,14,84
289,51,0,0,0
290,51,0,0,0
291,51,1,1,77
292,51,5,6,81
293,51,6,10,87
294,51,8,14,84
295,52,0,0,0
296,52,0,0,0
297,52,1,1,77
298,52,5,6,81
299,52,8,14,84
300,53,0,0,0
301,53,0,0,0
302,53,1,1,77
303,53,5,6,81
304,53,8,14,84
305,54,0,0,0
306,54,0,0,0
307,54,1,1,77
308,54,5,6,81
309,54,6,11,85
310,54,8,14,84
311,55,0,0,0
312,55,0,0,0
313,55,0,0,0
314,55,1,1,77
315,55,5,6,81
316,55,6,11,85
317,55,8,14,84
318,56,0,0,0
319,56,0,0,0
320,56,1,1,77
321,56,5,6,81
322,56,6,11,85
323,56,8,14,84
324,57,0,0,0
325,57,0,0,0
326,57,0,0,0
327,57,1,1,77
328,57,5,6,81
329,57,6,11,85
330,57,8,14,84
331,58,0,0,0
332,58,0,0,0
333,58,0,0,0
334,58,1,1,77
335,58,5,6,81
336,58,6,11,85
337,58,8,14,84
338,59,0,0,0
339,59,0,0,0
340,59,0,0,0
341,59,1,1,77
342,59,5,6,81
343,59,6,11,85
344,59,8,14,84
345,60,0,0,0
346,60,0,0,0
347,60,0,0,0
348,60,0,0,0
349,60,1,1,77
350,60,5,6,81
351,60,8,14,84
352,61,0,0,0
353,61,0,0,0
354,61,0,0,0
355,61,0,0,0
356,61,0,0,0
357,61,1,1,77
358,61,5,6,81
359,61,8,14,84
360,62,0,0,0
361,62,0,0,0
362,62,0,0,0
363,62,0,0,0
364,62,1,1,77
365,62,5,6,81
366,62,8,14,84
367,63,0,0,0
368,63,0,0,0
369,63,0,0,0
370,63,1,1,77
371,63,5,6,81
372,63,9,16,86
373,64,0,0,0
374,64,0,0,0
375,64,0,0,0
376,64,1,1,77
377,64,5,6,81
378,64,9,16,86
379,65,0,0,0
380,65,0,0,0
381,65,0,0,0
382,65,1,1,77
383,65,5,6,81
384,65,8,15,84
385,65,9,16,86
386,66,0,0,0
387,66,0,0,0
388,66,0,0,0
389,66,1,1,77
390,66,5,6,81
391,66,9,16,86
392,67,0,0,0
393,67,0,0,0
394,67,1,1,77
395,67,5,6,81
396,67,9,16,86
397,68,0,0,0
398,68,0,0,0
399,68,0,0,0
400,68,1,1,77
401,68,5,6,81
402,68,9,16,86
403,69,0,0,0
404,69,0,0,0
405,69,1,1,77
406,69,5,6,81
407,69,9,16,86
408,70,0,0,0
409,70,0,0,0
410,70,1,1,77
411,70,5,6,81
413,70,6,12,87
412,70,9,16,86
414,71,0,0,0
415,71,0,0,0
416,71,1,1,77
417,71,5,6,81
418,71,6,12,87
419,72,0,0,0
420,72,0,0,0
421,72,1,1,77
422,72,5,6,81
423,72,6,12,87
