tracklet_id,local_track_id,source_gid,assigned_final_gid,start_frame,end_frame,entry_side,exit_side,quality,best_score,best_prev_tracklet_id,best_prev_source_gid,same_source_best_score,same_source_best_prev_tracklet_id,same_source_bias_applied,same_source_cross_block_fired,spatial_disambig_applied,spatial_disambig_jump_top_px,spatial_disambig_jump_sec_px,decision_reason
82,36,36,131,2127,2188,center,center,0.9848747886510658,0.9817246810147137,81,36,0.9817246810147137,81,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
97,39,39,134,2138,2167,center,center,0.9835852960614944,1.0056480966868646,95,39,1.0056480966868646,95,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_95_via_same_candidate_safe_accept|local_consistency_pass
104,41,41,132,2138,2179,right,right,0.9999575617283952,0.9851865836425305,102,41,0.9851865836425305,102,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_102_via_same_candidate_safe_accept|local_consistency_pass
105,43,43,141,2174,2213,center,center,0.9024878298317999,0.6961995481901883,97,39,-1.0,0,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id|local_consistency_pass
98,39,39,134,2188,2296,center,center,0.9987514543115082,1.0079698865911335,97,39,1.0079698865911335,97,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_97_via_same_candidate_safe_accept|local_consistency_pass
106,45,45,132,2242,2299,center,right,1.0,0.9914264059658858,104,41,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_104_via_same_candidate_safe_accept|local_consistency_pass
99,39,39,134,2300,2363,center,center,0.9873240953109528,0.999591656777292,98,39,0.999591656777292,98,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_98_via_same_candidate_safe_accept|local_consistency_pass
107,47,47,142,2334,2386,center,center,0.9848195966233343,0.9636563347231586,79,36,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
100,39,39,134,2367,2373,center,center,0.9362546205960853,0.8701377112743038,94,39,0.8701377112743038,94,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_94_via_same_candidate_safe_accept|local_consistency_pass
108,48,48,134,2428,2440,center,center,0.9452602895634374,0.916630435255268,100,39,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_100_via_same_candidate_safe_accept|local_consistency_pass
114,49,49,143,2484,2484,right,right,0.7101144547325102,0.7984063122826351,49,21,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
115,50,50,144,2510,2515,right,center,0.9380904865724171,0.8414319584805167,75,36,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
109,48,48,134,2577,2587,center,center,0.9172136294036073,1.0036186715765796,108,48,1.0036186715765796,108,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_108_via_strong_reentry_reuse|local_consistency_pass
116,52,52,145,2705,2748,center,right,0.5036462348436239,0.7846544304172063,114,49,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
110,48,48,134,2713,2837,center,center,0.9997696876443196,0.9926423113641288,108,48,0.9926423113641288,108,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_108_via_same_candidate_safe_accept|local_consistency_pass
117,54,54,146,2722,2732,right,right,0.978252617363484,0.8332224219237213,101,40,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
83,36,36,131,2736,2740,center,center,0.9883643091419466,0.9245233393562534,78,36,0.9245233393562534,78,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_78_via_same_candidate_safe_accept|local_consistency_pass
118,54,54,146,2737,2737,right,right,0.9651924922231023,0.9658338365684402,117,54,0.9658338365684402,117,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_117_via_strong_reentry_reuse|local_consistency_pass
119,54,54,146,2741,2769,right,center,0.997945984897102,1.0035672602387875,118,54,1.0035672602387875,118,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_118_via_same_candidate_safe_accept|local_consistency_pass
120,56,56,146,2795,2796,right,right,1.0,0.9412832158479685,119,54,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_119_via_same_candidate_safe_accept|local_consistency_pass
121,56,56,146,2801,2803,right,right,1.0,0.8253956891228578,120,56,0.8253956891228578,120,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_120_via_same_candidate_safe_accept|local_consistency_pass
122,56,56,146,2808,2849,right,right,1.0,0.9804470763602195,120,56,0.9804470763602195,120,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_120_via_same_candidate_safe_accept|local_consistency_pass
84,36,36,131,2809,2810,center,center,0.9685800183151488,0.960300128646752,83,36,0.960300128646752,83,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_83_via_same_candidate_safe_accept|local_consistency_pass
