subset_frame_idx,original_frame_idx,window_id,video_path,image_path,notes
23,23,0,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000023.jpg,window_based_dense_subset;early_scene_entry_and_initial_tracks
24,24,0,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000024.jpg,window_based_dense_subset;early_scene_entry_and_initial_tracks
25,25,0,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000025.jpg,window_based_dense_subset;early_scene_entry_and_initial_tracks
26,26,0,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000026.jpg,window_based_dense_subset;early_scene_entry_and_initial_tracks
27,27,0,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000027.jpg,window_based_dense_subset;early_scene_entry_and_initial_tracks
28,28,0,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000028.jpg,window_based_dense_subset;early_scene_entry_and_initial_tracks
29,29,0,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000029.jpg,window_based_dense_subset;early_scene_entry_and_initial_tracks
30,180,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000180.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
31,181,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000181.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
32,182,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000182.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
33,183,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000183.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
34,184,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000184.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
35,185,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000185.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
